CMTE_ID,CMTE_NM,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_STATE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,TRANSACTION_DT,TRANSACTION_AMT,TRANSACTION_TP,COMMUNICATION_TP,COMMUNICATION_CLASS,SUPPORT_OPPOSE_IND,IMAGE_NUM,LINE_NUM,FORM_TP_CD,SCHED_TP_CD,TRAN_ID,SUB_ID,FILE_NUM,RPT_YR,CAND_STATE_DESCRIPTION,CAND_PTY_AFFILIATION_DESCRIPTION,PURPOSE
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160603","13876.83","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083210","","F7","F76","F76081816321019","2081820161313049724","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S6CA00584","HARRIS, KAMALA D","S","CA","00","DEM","20160603","13876.83","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083210","","F7","F76","F76081816321020","2081820161313049725","1094958","2016","CALIFORNIA","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160504","14260","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083211","","F7","F76","F76081816321121","2081820161313049726","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160115","1574.1","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064236","","F7","F76","F7605131642365","2051620161292819023","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160120","23513.83","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064236","","F7","F76","F7605131642366","2051620161292819024","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160128","27382.82","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064237","","F7","F76","F7605131642377","2051620161292819025","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160201","1218","24F","TP","","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064237","","F7","F76","F7605131642378","2051620161292819026","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160202","26866.33","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064238","","F7","F76","F7605131642389","2051620161292819027","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160120","4941.97","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064238","","F7","F76","F76051316423810","2051620161292819028","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160202","2266.66","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064239","","F7","F76","F76051316423911","2051620161292819029","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160209","10606.66","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604150300064239","","F7","F76","F76051316423912","2051620161292819030","1067250","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S6PA00266","MCGINTY, KATHLEEN ALANA","S","PA","00","DEM","20161024","19021.86","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135278","","F7","F76","F7602031752781","2020920171370365652","1147447","2016","PENNSYLVANIA","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S8IN00049","BAYH, EVAN","S","IN","00","DEM","20161024","3616.4","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135278","","F7","F76","F7602031752782","2020920171370365653","1147447","2016","INDIANA","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S6MO00362","KANDER, JASON","S","MO","00","DEM","20161024","2784.23","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135279","","F7","F76","F7602031752793","2020920171370365654","1147447","2016","MISSOURI","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161015","5365.44","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135279","","F7","F76","F7602031752794","2020920171370365655","1147447","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161029","7728.93","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135280","","F7","F76","F7602031752805","2020920171370365656","1147447","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161026","1735.56","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135280","","F7","F76","F7602031752806","2020920171370365657","1147447","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S6MO00362","KANDER, JASON","S","MO","00","DEM","20161026","1735.56","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135281","","F7","F76","F7602031752817","2020920171370365658","1147447","2016","MISSOURI","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161026","2374.31","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135281","","F7","F76","F7602031752818","2020920171370365659","1147447","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S8IN00049","BAYH, EVAN","S","IN","00","DEM","20161026","2374.31","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135282","","F7","F76","F7602031752829","2020920171370365660","1147447","2016","INDIANA","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161026","14131.85","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135282","","F7","F76","F76020317528210","2020920171370365661","1147447","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S6PA00266","MCGINTY, KATHLEEN ALANA","S","PA","00","DEM","20161026","14131.85","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201701270300135283","","F7","F76","F76020317528311","2020920171370365662","1147447","2016","PENNSYLVANIA","Democratic Party",""
